0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:17:48 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:17:53 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:18:00 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:18:01 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:19:13 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:19:17 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:19:21 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:19:26 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:19:32 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:30:36 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:31:07 -0700] "GET /coursepractise/webapi/programs/1/students HTTP/1.1" 200 85
